shardID,nodeID,nodeIP,nodeSecurity,nodePerformance,shardSecurity,shardTime,shardLoad
,0,127.0.0.1:32217,0.00000000,0.00000000,,,
,1,127.0.0.1:32227,0.00000000,0.00000000,,,
,2,127.0.0.1:32237,0.00000000,0.00000000,,,
,3,127.0.0.1:32247,0.00000000,0.00000000,,,
After allocate node in epoch,2
1,1,127.0.0.1:32327,0.00000000,0.00000000,0.00000000,+Inf,41309.000
,2,127.0.0.1:32337,0.00000000,0.00000000,,,
,3,127.0.0.1:32347,0.00000000,0.00000000,,,
,4,127.0.0.1:32357,0.00000000,0.00000000,,,
,5,127.0.0.1:32367,0.00000000,0.00000000,,,
,6,127.0.0.1:32377,0.00000000,0.00000000,,,
,7,127.0.0.1:32387,0.00000000,0.00000000,,,
,0,127.0.0.1:32317,0.00000000,0.00000000,,,
2,7,127.0.0.1:32487,0.00000000,0.00000000,0.00000000,+Inf,27587.000
,0,127.0.0.1:32417,0.00000000,0.00000000,,,
,1,127.0.0.1:32427,0.00000000,0.00000000,,,
,2,127.0.0.1:32437,0.00000000,0.00000000,,,
,3,127.0.0.1:32447,0.00000000,0.00000000,,,
,4,127.0.0.1:32457,0.00000000,0.00000000,,,
,5,127.0.0.1:32467,0.00000000,0.00000000,,,
,6,127.0.0.1:32477,0.00000000,0.00000000,,,
3,2,127.0.0.1:32537,0.00000000,0.00000000,0.00000000,+Inf,23970.000
,3,127.0.0.1:32547,0.00000000,0.00000000,,,
,4,127.0.0.1:32557,0.00000000,0.00000000,,,
,5,127.0.0.1:32567,0.00000000,0.00000000,,,
,6,127.0.0.1:32577,0.00000000,0.00000000,,,
,7,127.0.0.1:32587,0.00000000,0.00000000,,,
,0,127.0.0.1:32517,0.00000000,0.00000000,,,
,1,127.0.0.1:32527,0.00000000,0.00000000,,,
0,4,127.0.0.1:32257,0.00000000,0.00000000,0.00000000,+Inf,34268.000
,5,127.0.0.1:32267,0.00000000,0.00000000,,,
,6,127.0.0.1:32277,0.00000000,0.00000000,,,
,7,127.0.0.1:32287,0.00000000,0.00000000,,,
,0,127.0.0.1:32217,0.00000000,0.00000000,,,
,1,127.0.0.1:32227,0.00000000,0.00000000,,,
,2,127.0.0.1:32237,0.00000000,0.00000000,,,
,3,127.0.0.1:32247,0.00000000,0.00000000,,,
NodeAllocationTime,1.5172ms
Before allocate node in epoch,0
0,4,127.0.0.1:32257,0.00000000,0.00000000,0.00000000,+Inf,47808.000
,5,127.0.0.1:32267,0.00000000,0.00000000,,,
,6,127.0.0.1:32277,0.00000000,0.00000000,,,
,7,127.0.0.1:32287,0.00000000,0.00000000,,,
,0,127.0.0.1:32217,0.00000000,0.00000000,,,
,1,127.0.0.1:32227,0.00000000,0.00000000,,,
,2,127.0.0.1:32237,0.00000000,0.00000000,,,
,3,127.0.0.1:32247,0.00000000,0.00000000,,,
1,0,127.0.0.1:32317,0.00000000,0.00000000,0.00000000,+Inf,41532.000
,1,127.0.0.1:32327,0.00000000,0.00000000,,,
,2,127.0.0.1:32337,0.00000000,0.00000000,,,
,3,127.0.0.1:32347,0.00000000,0.00000000,,,
,4,127.0.0.1:32357,0.00000000,0.00000000,,,
,5,127.0.0.1:32367,0.00000000,0.00000000,,,
,6,127.0.0.1:32377,0.00000000,0.00000000,,,
,7,127.0.0.1:32387,0.00000000,0.00000000,,,
2,4,127.0.0.1:32457,0.00000000,0.00000000,0.00000000,+Inf,40181.000
,5,127.0.0.1:32467,0.00000000,0.00000000,,,
,6,127.0.0.1:32477,0.00000000,0.00000000,,,
,7,127.0.0.1:32487,0.00000000,0.00000000,,,
,0,127.0.0.1:32417,0.00000000,0.00000000,,,
,1,127.0.0.1:32427,0.00000000,0.00000000,,,
,2,127.0.0.1:32437,0.00000000,0.00000000,,,
,3,127.0.0.1:32447,0.00000000,0.00000000,,,
3,2,127.0.0.1:32537,0.00000000,0.00000000,0.00000000,+Inf,46750.000
,3,127.0.0.1:32547,0.00000000,0.00000000,,,
,4,127.0.0.1:32557,0.00000000,0.00000000,,,
,5,127.0.0.1:32567,0.00000000,0.00000000,,,
,6,127.0.0.1:32577,0.00000000,0.00000000,,,
,7,127.0.0.1:32587,0.00000000,0.00000000,,,
,0,127.0.0.1:32517,0.00000000,0.00000000,,,
,1,127.0.0.1:32527,0.00000000,0.00000000,,,
After allocate node in epoch,0
0,4,127.0.0.1:32257,0.00000000,0.00000000,0.00000000,+Inf,47808.000
,5,127.0.0.1:32267,0.00000000,0.00000000,,,
,6,127.0.0.1:32277,0.00000000,0.00000000,,,
,7,127.0.0.1:32287,0.00000000,0.00000000,,,
,0,127.0.0.1:32217,0.00000000,0.00000000,,,
,1,127.0.0.1:32227,0.00000000,0.00000000,,,
,2,127.0.0.1:32237,0.00000000,0.00000000,,,
,3,127.0.0.1:32247,0.00000000,0.00000000,,,
1,0,127.0.0.1:32317,0.00000000,0.00000000,0.00000000,+Inf,41532.000
,1,127.0.0.1:32327,0.00000000,0.00000000,,,
,2,127.0.0.1:32337,0.00000000,0.00000000,,,
,3,127.0.0.1:32347,0.00000000,0.00000000,,,
,4,127.0.0.1:32357,0.00000000,0.00000000,,,
,5,127.0.0.1:32367,0.00000000,0.00000000,,,
,6,127.0.0.1:32377,0.00000000,0.00000000,,,
,7,127.0.0.1:32387,0.00000000,0.00000000,,,
2,4,127.0.0.1:32457,0.00000000,0.00000000,0.00000000,+Inf,40181.000
,5,127.0.0.1:32467,0.00000000,0.00000000,,,
,6,127.0.0.1:32477,0.00000000,0.00000000,,,
,7,127.0.0.1:32487,0.00000000,0.00000000,,,
,0,127.0.0.1:32417,0.00000000,0.00000000,,,
,1,127.0.0.1:32427,0.00000000,0.00000000,,,
,2,127.0.0.1:32437,0.00000000,0.00000000,,,
,3,127.0.0.1:32447,0.00000000,0.00000000,,,
3,2,127.0.0.1:32537,0.00000000,0.00000000,0.00000000,+Inf,46750.000
,3,127.0.0.1:32547,0.00000000,0.00000000,,,
,4,127.0.0.1:32557,0.00000000,0.00000000,,,
,5,127.0.0.1:32567,0.00000000,0.00000000,,,
,6,127.0.0.1:32577,0.00000000,0.00000000,,,
,7,127.0.0.1:32587,0.00000000,0.00000000,,,
,0,127.0.0.1:32517,0.00000000,0.00000000,,,
,1,127.0.0.1:32527,0.00000000,0.00000000,,,
NodeAllocationTime,1.3119ms
Before allocate node in epoch,2
2,6,127.0.0.1:32477,0.00000000,0.00000000,0.00000000,+Inf,27159.000
,7,127.0.0.1:32487,0.00000000,0.00000000,,,
,0,127.0.0.1:32417,0.00000000,0.00000000,,,
,2,127.0.0.1:32437,0.00000000,0.00000000,,,
,3,127.0.0.1:32247,0.00000000,0.00000000,,,
,5,127.0.0.1:32267,0.00000000,0.00000000,,,
3,4,127.0.0.1:32557,0.00000000,0.00000000,0.00000000,+Inf,22801.000
,5,127.0.0.1:32567,0.00000000,0.00000000,,,
,6,127.0.0.1:32577,0.00000000,0.00000000,,,
,7,127.0.0.1:32587,0.00000000,0.00000000,,,
,0,127.0.0.1:32517,0.00000000,0.00000000,,,
,1,127.0.0.1:32527,0.00000000,0.00000000,,,
,2,127.0.0.1:32537,0.00000000,0.00000000,,,
,3,127.0.0.1:32547,0.00000000,0.00000000,,,
0,6,127.0.0.1:32277,0.00000000,0.00000000,0.00000000,+Inf,34951.000
,7,127.0.0.1:32287,0.00000000,0.00000000,,,
,0,127.0.0.1:32217,0.00000000,0.00000000,,,
,2,127.0.0.1:32237,0.00000000,0.00000000,,,
,4,127.0.0.1:32457,0.00000000,0.00000000,,,
1,5,127.0.0.1:32367,0.00000000,0.00000000,0.00000000,+Inf,44070.000
,6,127.0.0.1:32377,0.00000000,0.00000000,,,
,7,127.0.0.1:32387,0.00000000,0.00000000,,,
,0,127.0.0.1:32317,0.00000000,0.00000000,,,
,1,127.0.0.1:32427,0.00000000,0.00000000,,,
,2,127.0.0.1:32337,0.00000000,0.00000000,,,
,3,127.0.0.1:32347,0.00000000,0.00000000,,,
,4,127.0.0.1:32357,0.00000000,0.00000000,,,
After allocate node in epoch,2
2,6,127.0.0.1:32477,0.00000000,0.00000000,0.00000000,+Inf,27159.000
,7,127.0.0.1:32487,0.00000000,0.00000000,,,
,0,127.0.0.1:32417,0.00000000,0.00000000,,,
,2,127.0.0.1:32437,0.00000000,0.00000000,,,
,3,127.0.0.1:32247,0.00000000,0.00000000,,,
,5,127.0.0.1:32267,0.00000000,0.00000000,,,
3,4,127.0.0.1:32557,0.00000000,0.00000000,0.00000000,+Inf,22801.000
,5,127.0.0.1:32567,0.00000000,0.00000000,,,
,6,127.0.0.1:32577,0.00000000,0.00000000,,,
,7,127.0.0.1:32587,0.00000000,0.00000000,,,
,0,127.0.0.1:32517,0.00000000,0.00000000,,,
,1,127.0.0.1:32527,0.00000000,0.00000000,,,
,2,127.0.0.1:32537,0.00000000,0.00000000,,,
,3,127.0.0.1:32547,0.00000000,0.00000000,,,
0,6,127.0.0.1:32277,0.00000000,0.00000000,0.00000000,+Inf,34951.000
,7,127.0.0.1:32287,0.00000000,0.00000000,,,
,0,127.0.0.1:32217,0.00000000,0.00000000,,,
,2,127.0.0.1:32237,0.00000000,0.00000000,,,
,4,127.0.0.1:32457,0.00000000,0.00000000,,,
1,5,127.0.0.1:32367,0.00000000,0.00000000,0.00000000,+Inf,44070.000
,6,127.0.0.1:32377,0.00000000,0.00000000,,,
,7,127.0.0.1:32387,0.00000000,0.00000000,,,
,0,127.0.0.1:32317,0.00000000,0.00000000,,,
,1,127.0.0.1:32427,0.00000000,0.00000000,,,
,2,127.0.0.1:32337,0.00000000,0.00000000,,,
,3,127.0.0.1:32347,0.00000000,0.00000000,,,
,4,127.0.0.1:32357,0.00000000,0.00000000,,,
NodeAllocationTime,1.1426ms
Before allocate node in epoch,0
0,1,127.0.0.1:32227,0.00000000,0.00000000,0.00000000,+Inf,47774.000
,2,127.0.0.1:32237,0.00000000,0.00000000,,,
,3,127.0.0.1:32247,0.00000000,0.00000000,,,
,4,127.0.0.1:32257,0.00000000,0.00000000,,,
,5,127.0.0.1:32267,0.00000000,0.00000000,,,
,6,127.0.0.1:32277,0.00000000,0.00000000,,,
,7,127.0.0.1:32287,0.00000000,0.00000000,,,
,0,127.0.0.1:32217,0.00000000,0.00000000,,,
1,4,127.0.0.1:32357,0.00000000,0.00000000,0.00000000,+Inf,41523.000
,5,127.0.0.1:32367,0.00000000,0.00000000,,,
,6,127.0.0.1:32377,0.00000000,0.00000000,,,
,7,127.0.0.1:32387,0.00000000,0.00000000,,,
,0,127.0.0.1:32317,0.00000000,0.00000000,,,
,1,127.0.0.1:32327,0.00000000,0.00000000,,,
,2,127.0.0.1:32337,0.00000000,0.00000000,,,
,3,127.0.0.1:32347,0.00000000,0.00000000,,,
2,3,127.0.0.1:32447,0.00000000,0.00000000,0.00000000,+Inf,40151.000
,4,127.0.0.1:32457,0.00000000,0.00000000,,,
,5,127.0.0.1:32467,0.00000000,0.00000000,,,
,6,127.0.0.1:32477,0.00000000,0.00000000,,,
,7,127.0.0.1:32487,0.00000000,0.00000000,,,
,0,127.0.0.1:32417,0.00000000,0.00000000,,,
,1,127.0.0.1:32427,0.00000000,0.00000000,,,
,2,127.0.0.1:32437,0.00000000,0.00000000,,,
3,0,127.0.0.1:32517,0.00000000,0.00000000,0.00000000,+Inf,46726.000
,1,127.0.0.1:32527,0.00000000,0.00000000,,,
,2,127.0.0.1:32537,0.00000000,0.00000000,,,
,3,127.0.0.1:32547,0.00000000,0.00000000,,,
,4,127.0.0.1:32557,0.00000000,0.00000000,,,
,5,127.0.0.1:32567,0.00000000,0.00000000,,,
,6,127.0.0.1:32577,0.00000000,0.00000000,,,
,7,127.0.0.1:32587,0.00000000,0.00000000,,,
After allocate node in epoch,0
0,1,127.0.0.1:32227,0.00000000,0.00000000,0.00000000,+Inf,47774.000
,2,127.0.0.1:32237,0.00000000,0.00000000,,,
,3,127.0.0.1:32247,0.00000000,0.00000000,,,
,4,127.0.0.1:32257,0.00000000,0.00000000,,,
,5,127.0.0.1:32267,0.00000000,0.00000000,,,
,6,127.0.0.1:32277,0.00000000,0.00000000,,,
,7,127.0.0.1:32287,0.00000000,0.00000000,,,
,0,127.0.0.1:32217,0.00000000,0.00000000,,,
1,4,127.0.0.1:32357,0.00000000,0.00000000,0.00000000,+Inf,41523.000
,5,127.0.0.1:32367,0.00000000,0.00000000,,,
,6,127.0.0.1:32377,0.00000000,0.00000000,,,
,7,127.0.0.1:32387,0.00000000,0.00000000,,,
,0,127.0.0.1:32317,0.00000000,0.00000000,,,
,1,127.0.0.1:32327,0.00000000,0.00000000,,,
,2,127.0.0.1:32337,0.00000000,0.00000000,,,
,3,127.0.0.1:32347,0.00000000,0.00000000,,,
2,3,127.0.0.1:32447,0.00000000,0.00000000,0.00000000,+Inf,40151.000
,4,127.0.0.1:32457,0.00000000,0.00000000,,,
,5,127.0.0.1:32467,0.00000000,0.00000000,,,
,6,127.0.0.1:32477,0.00000000,0.00000000,,,
,7,127.0.0.1:32487,0.00000000,0.00000000,,,
,0,127.0.0.1:32417,0.00000000,0.00000000,,,
,1,127.0.0.1:32427,0.00000000,0.00000000,,,
,2,127.0.0.1:32437,0.00000000,0.00000000,,,
3,0,127.0.0.1:32517,0.00000000,0.00000000,0.00000000,+Inf,46726.000
,1,127.0.0.1:32527,0.00000000,0.00000000,,,
,2,127.0.0.1:32537,0.00000000,0.00000000,,,
,3,127.0.0.1:32547,0.00000000,0.00000000,,,
,4,127.0.0.1:32557,0.00000000,0.00000000,,,
,5,127.0.0.1:32567,0.00000000,0.00000000,,,
,6,127.0.0.1:32577,0.00000000,0.00000000,,,
,7,127.0.0.1:32587,0.00000000,0.00000000,,,
NodeAllocationTime,1.0473ms
Before allocate node in epoch,0
2,4,127.0.0.1:32457,0.00000000,0.00000000,0.00000000,+Inf,40181.000
,5,127.0.0.1:32467,0.00000000,0.00000000,,,
,6,127.0.0.1:32477,0.00000000,0.00000000,,,
,7,127.0.0.1:32487,0.00000000,0.00000000,,,
,0,127.0.0.1:32417,0.00000000,0.00000000,,,
,1,127.0.0.1:32427,0.00000000,0.00000000,,,
,2,127.0.0.1:32437,0.00000000,0.00000000,,,
,3,127.0.0.1:32447,0.00000000,0.00000000,,,
3,5,127.0.0.1:32567,0.00000000,0.00000000,0.00000000,+Inf,46750.000
,6,127.0.0.1:32577,0.00000000,0.00000000,,,
,7,127.0.0.1:32587,0.00000000,0.00000000,,,
,0,127.0.0.1:32517,0.00000000,0.00000000,,,
,1,127.0.0.1:32527,0.00000000,0.00000000,,,
,2,127.0.0.1:32537,0.00000000,0.00000000,,,
,3,127.0.0.1:32547,0.00000000,0.00000000,,,
,4,127.0.0.1:32557,0.00000000,0.00000000,,,
0,2,127.0.0.1:32237,0.00000000,0.00000000,0.00000000,+Inf,47808.000
,3,127.0.0.1:32247,0.00000000,0.00000000,,,
,4,127.0.0.1:32257,0.00000000,0.00000000,,,
,5,127.0.0.1:32267,0.00000000,0.00000000,,,
,6,127.0.0.1:32277,0.00000000,0.00000000,,,
,7,127.0.0.1:32287,0.00000000,0.00000000,,,
,0,127.0.0.1:32217,0.00000000,0.00000000,,,
,1,127.0.0.1:32227,0.00000000,0.00000000,,,
1,7,127.0.0.1:32387,0.00000000,0.00000000,0.00000000,+Inf,41532.000
,0,127.0.0.1:32317,0.00000000,0.00000000,,,
,1,127.0.0.1:32327,0.00000000,0.00000000,,,
,2,127.0.0.1:32337,0.00000000,0.00000000,,,
,3,127.0.0.1:32347,0.00000000,0.00000000,,,
,4,127.0.0.1:32357,0.00000000,0.00000000,,,
,5,127.0.0.1:32367,0.00000000,0.00000000,,,
,6,127.0.0.1:32377,0.00000000,0.00000000,,,
After allocate node in epoch,0
2,4,127.0.0.1:32457,0.00000000,0.00000000,0.00000000,+Inf,40181.000
,5,127.0.0.1:32467,0.00000000,0.00000000,,,
,6,127.0.0.1:32477,0.00000000,0.00000000,,,
,7,127.0.0.1:32487,0.00000000,0.00000000,,,
,0,127.0.0.1:32417,0.00000000,0.00000000,,,
,1,127.0.0.1:32427,0.00000000,0.00000000,,,
,2,127.0.0.1:32437,0.00000000,0.00000000,,,
,3,127.0.0.1:32447,0.00000000,0.00000000,,,
3,5,127.0.0.1:32567,0.00000000,0.00000000,0.00000000,+Inf,46750.000
,6,127.0.0.1:32577,0.00000000,0.00000000,,,
,7,127.0.0.1:32587,0.00000000,0.00000000,,,
,0,127.0.0.1:32517,0.00000000,0.00000000,,,
,1,127.0.0.1:32527,0.00000000,0.00000000,,,
,2,127.0.0.1:32537,0.00000000,0.00000000,,,
,3,127.0.0.1:32547,0.00000000,0.00000000,,,
,4,127.0.0.1:32557,0.00000000,0.00000000,,,
0,2,127.0.0.1:32237,0.00000000,0.00000000,0.00000000,+Inf,47808.000
,3,127.0.0.1:32247,0.00000000,0.00000000,,,
,4,127.0.0.1:32257,0.00000000,0.00000000,,,
,5,127.0.0.1:32267,0.00000000,0.00000000,,,
,6,127.0.0.1:32277,0.00000000,0.00000000,,,
,7,127.0.0.1:32287,0.00000000,0.00000000,,,
,0,127.0.0.1:32217,0.00000000,0.00000000,,,
,1,127.0.0.1:32227,0.00000000,0.00000000,,,
1,7,127.0.0.1:32387,0.00000000,0.00000000,0.00000000,+Inf,41532.000
,0,127.0.0.1:32317,0.00000000,0.00000000,,,
,1,127.0.0.1:32327,0.00000000,0.00000000,,,
,2,127.0.0.1:32337,0.00000000,0.00000000,,,
,3,127.0.0.1:32347,0.00000000,0.00000000,,,
,4,127.0.0.1:32357,0.00000000,0.00000000,,,
,5,127.0.0.1:32367,0.00000000,0.00000000,,,
,6,127.0.0.1:32377,0.00000000,0.00000000,,,
NodeAllocationTime,1.1485ms
Before allocate node in epoch,0
1,3,127.0.0.1:32347,0.00000000,0.00000000,0.00000000,+Inf,41532.000
,4,127.0.0.1:32357,0.00000000,0.00000000,,,
,5,127.0.0.1:32367,0.00000000,0.00000000,,,
,6,127.0.0.1:32377,0.00000000,0.00000000,,,
,7,127.0.0.1:32387,0.00000000,0.00000000,,,
,0,127.0.0.1:32317,0.00000000,0.00000000,,,
,1,127.0.0.1:32327,0.00000000,0.00000000,,,
,2,127.0.0.1:32337,0.00000000,0.00000000,,,
2,3,127.0.0.1:32447,0.00000000,0.00000000,0.00000000,+Inf,40181.000
,4,127.0.0.1:32457,0.00000000,0.00000000,,,
,5,127.0.0.1:32467,0.00000000,0.00000000,,,
,6,127.0.0.1:32477,0.00000000,0.00000000,,,
,7,127.0.0.1:32487,0.00000000,0.00000000,,,
,0,127.0.0.1:32417,0.00000000,0.00000000,,,
,1,127.0.0.1:32427,0.00000000,0.00000000,,,
,2,127.0.0.1:32437,0.00000000,0.00000000,,,
3,2,127.0.0.1:32537,0.00000000,0.00000000,0.00000000,+Inf,46750.000
,3,127.0.0.1:32547,0.00000000,0.00000000,,,
,4,127.0.0.1:32557,0.00000000,0.00000000,,,
,5,127.0.0.1:32567,0.00000000,0.00000000,,,
,6,127.0.0.1:32577,0.00000000,0.00000000,,,
,7,127.0.0.1:32587,0.00000000,0.00000000,,,
,0,127.0.0.1:32517,0.00000000,0.00000000,,,
,1,127.0.0.1:32527,0.00000000,0.00000000,,,
0,2,127.0.0.1:32237,0.00000000,0.00000000,0.00000000,+Inf,47808.000
,3,127.0.0.1:32247,0.00000000,0.00000000,,,
,4,127.0.0.1:32257,0.00000000,0.00000000,,,
,5,127.0.0.1:32267,0.00000000,0.00000000,,,
,6,127.0.0.1:32277,0.00000000,0.00000000,,,
,7,127.0.0.1:32287,0.00000000,0.00000000,,,
,0,127.0.0.1:32217,0.00000000,0.00000000,,,
,1,127.0.0.1:32227,0.00000000,0.00000000,,,
After allocate node in epoch,0
1,4,127.0.0.1:32357,0.00000000,0.00000000,0.00000000,+Inf,41532.000
,5,127.0.0.1:32367,0.00000000,0.00000000,,,
,6,127.0.0.1:32377,0.00000000,0.00000000,,,
,7,127.0.0.1:32387,0.00000000,0.00000000,,,
,0,127.0.0.1:32317,0.00000000,0.00000000,,,
,1,127.0.0.1:32327,0.00000000,0.00000000,,,
,2,127.0.0.1:32337,0.00000000,0.00000000,,,
2,3,127.0.0.1:32447,0.00000000,0.00000000,0.00000000,+Inf,40181.000
,5,127.0.0.1:32467,0.00000000,0.00000000,,,
,7,127.0.0.1:32487,0.00000000,0.00000000,,,
,0,127.0.0.1:32417,0.00000000,0.00000000,,,
,2,127.0.0.1:32437,0.00000000,0.00000000,,,
,4,127.0.0.1:32357,0.00000000,0.00000000,,,
3,2,127.0.0.1:32537,0.00000000,0.00000000,0.00000000,+Inf,46750.000
,3,127.0.0.1:32547,0.00000000,0.00000000,,,
,4,127.0.0.1:32557,0.00000000,0.00000000,,,
,5,127.0.0.1:32567,0.00000000,0.00000000,,,
,6,127.0.0.1:32577,0.00000000,0.00000000,,,
,7,127.0.0.1:32587,0.00000000,0.00000000,,,
,0,127.0.0.1:32517,0.00000000,0.00000000,,,
,1,127.0.0.1:32527,0.00000000,0.00000000,,,
,3,127.0.0.1:32247,0.00000000,0.00000000,,,
,2,127.0.0.1:32437,0.00000000,0.00000000,,,
0,3,127.0.0.1:32247,0.00000000,0.00000000,0.00000000,+Inf,47808.000
,4,127.0.0.1:32257,0.00000000,0.00000000,,,
,5,127.0.0.1:32267,0.00000000,0.00000000,,,
,6,127.0.0.1:32277,0.00000000,0.00000000,,,
,7,127.0.0.1:32287,0.00000000,0.00000000,,,
,0,127.0.0.1:32217,0.00000000,0.00000000,,,
,1,127.0.0.1:32227,0.00000000,0.00000000,,,
,5,127.0.0.1:32467,0.00000000,0.00000000,,,
,7,127.0.0.1:32487,0.00000000,0.00000000,,,
NodeAllocationTime,1.0441ms
Before allocate node in epoch,2
0,6,127.0.0.1:32277,0.00000000,0.00000000,0.00000000,+Inf,23549.000
,7,127.0.0.1:32287,0.00000000,0.00000000,,,
,0,127.0.0.1:32217,0.00000000,0.00000000,,,
